clock,mode,target_id,dist,source_x,source_y,source_z,target_x,target_y,target_z,target_vx,target_vy,target_vz,ship_vx,ship_vy,ship_vz,future_x,future_y,future_z,flight_time,present_yaw,lead_yaw_delta,world_yaw,world_pitch,rel_yaw,rel_pitch,yaw_dt,yaw_error,yaw_integral,yaw_derivative,target_yaw_rate,raw_output,final_output,motor_output,motor_signal,motor_left,motor_right,local_cannon_yaw,velocity_compensation,shell_visible,shell_seq,shell_type,shell_x,shell_y,shell_z,shell_dt,shell_vx,shell_vy,shell_vz,shell_speed,shell_dist_source,shell_dist_target,shell_horizontal_source,shell_vertical_from_source,shell_expected_y_from_pitch,shell_y_error_vs_solver
4813.300000,LOCK,17.000000,309.770743,4562.527067,41.630489,5822.468601,4465.554119,39.824801,6116.663945,-3.288059,0.971393,-8.916009,-0.036017,0.000722,0.014027,4461.380012,41.070690,6105.201937,1.283485,198.243302,1.441224,199.684527,1.047974,39.842401,0.321106,0.150000,39.842401,5.976360,0.000000,-0.390892,135.464163,134.682379,15.000000,15.000000,0.000000,15.000000,0.000000,1.000000,0.000000,,,,,,,,,,,,,,,,
4813.500000,LOCK,17.000000,308.200303,4562.519930,41.630630,5822.471369,4464.912165,40.018294,6114.802605,-3.381174,1.058731,-10.923148,-0.035827,0.000706,0.013819,4460.675447,41.358231,6100.951473,1.266355,198.463876,1.624372,200.088248,1.088562,40.046048,0.358411,0.200000,40.046048,13.985570,0.458205,-0.488233,136.239039,135.262573,15.000000,15.000000,0.000000,15.000000,0.000000,1.000000,0.000000,,,,,,,,,,,,,,,,
4813.750000,LOCK,17.000000,306.144494,4562.498730,41.631034,5822.479381,4464.186963,40.245311,6112.405799,-2.999768,0.940911,-10.300122,-0.160921,0.002683,0.061073,4460.611012,41.427149,6099.354327,1.259566,198.731393,1.471810,200.203203,1.094360,39.567244,0.367274,0.250000,39.567244,20.000000,-0.609834,-0.619787,134.418860,133.179286,15.000000,15.000000,0.000000,15.000000,0.000000,1.000000,0.000000,,,,,,,,,,,,,,,,
4813.950000,LOCK,17.000000,304.368696,4562.458628,41.631875,5822.494040,4463.613157,40.426512,6110.362800,-2.794844,0.891013,-10.392952,-0.231490,0.005540,0.082341,4460.454542,41.518931,6097.436671,1.251510,198.950930,1.403992,200.354922,1.105957,38.600557,0.384716,0.200000,38.600557,20.000000,-2.510453,-0.651902,130.790014,129.486209,15.000000,15.000000,0.000000,15.000000,0.000000,0.985802,0.000000,,,,,,,,,,,,,,,,
4814.200000,LOCK,17.000000,301.570117,4562.390365,41.633101,5822.516881,4462.830144,40.682090,6107.177017,-2.853408,0.933892,-12.093510,-0.274408,0.005357,0.086665,4459.704755,41.808979,6092.392172,1.231068,199.277345,1.554115,200.831461,1.140747,37.191804,0.428816,0.250000,37.191804,20.000000,-3.916505,-0.619917,125.747163,124.507329,15.000000,15.000000,0.000000,15.000000,0.000000,0.985802,0.000000,,,,,,,,,,,,,,,,
4814.400000,LOCK,17.000000,299.421003,4562.333839,41.634346,5822.533841,4462.279401,40.864814,6104.742016,-2.843261,0.973353,-13.603126,-0.289278,0.005131,0.082109,4459.225895,42.024211,6088.351990,1.214596,199.521516,1.679211,201.200727,1.169739,36.015324,0.468588,0.200000,36.015324,20.000000,-4.801158,-0.641723,121.587894,120.304448,15.000000,15.000000,0.000000,15.000000,0.000000,0.985802,0.000000,,,,,,,,,,,,,,,,
4814.650000,LOCK,17.000000,296.626578,4562.265107,41.635532,5822.552283,4461.638411,41.084116,6101.588645,-2.691260,0.930830,-13.842517,-0.299295,0.005998,0.074370,4458.867578,42.159758,6085.395884,1.202537,199.830427,1.643278,201.473705,1.187134,34.424317,0.504316,0.250000,34.424317,20.000000,-5.504449,-0.707548,116.051878,114.636781,15.000000,15.000000,0.000000,15.000000,0.000000,0.967238,0.000000,,,,,,,,,,,,,,,,
4814.900000,LOCK,17.000000,293.453138,4562.184589,41.636985,5822.570873,4460.957583,41.318096,6098.011856,-2.450115,0.844607,-13.341932,-0.304713,0.004969,0.064704,4458.497596,42.285313,6082.562536,1.191034,200.178828,1.563726,201.742554,1.198730,32.528548,0.541473,0.250000,32.528548,20.000000,-6.439831,-0.727796,109.437895,107.982304,15.000000,15.000000,0.000000,15.000000,0.000000,0.967238,0.000000,,,,,,,,,,,,,,,,
4815.150000,LOCK,17.000000,290.670002,4562.113140,41.638306,5822.584719,4460.408874,41.510278,6094.881020,-2.268068,0.826556,-13.972307,-0.307611,0.005394,0.054484,4458.192397,42.443561,6078.933208,1.176173,200.480955,1.586115,202.067070,1.221924,30.946877,0.588713,0.250000,30.946877,20.000000,-6.388915,-0.734821,104.069379,102.599736,15.000000,15.000000,0.000000,15.000000,0.000000,0.966367,0.000000,,,,,,,,,,,,,,,,
4815.400000,LOCK,17.000000,287.423649,4562.030758,41.639645,5822.597661,4459.837471,41.719699,6091.240323,-2.046635,0.761911,-13.678541,-0.310361,0.005697,0.042689,4457.897202,42.569828,6075.809327,1.163443,200.827116,1.527849,202.354965,1.233521,29.050479,0.631515,0.250000,29.050479,20.000000,-6.927420,-0.737680,97.524694,96.049334,15.000000,15.000000,0.000000,15.000000,0.000000,0.966367,0.000000,,,,,,,,,,,,,,,,
